web-scraper-order,web-scraper-start-url,pages,pages-href,item,item-href,prix,Location,superficie,nb pieces,nb chambres,nb salles de bains,etat ,Age,etage,Ca1,Ca2,Ca3,Ca4,Ca5,Ca6,Ca7,Ca8,Ca9,Ca10
1644854635-1255,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",2,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:2",Appartement de 99m² avec 11m² de terrasse...,https://www.mubawab.ma/fr/pa/7331080/appartement-de-99m%C2%B2-avec-11m%C2%B2-de-terrasse-en-vente-liv-in-garden,1 850 000 DH,"Maârif Extension à
				
				Casablanca","110
					m²",3 Pièces,2 Chambres,1 Salle de bain,null,null,null,Terrasse,Jardin,Concierge,Climatisation,Voir le catalogue en PDF,Voir la vidéo,null,null,null,null
1644854348-1155,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Appartement de 154m² dont cour de 22m²,https://www.mubawab.ma/fr/a/6213481/appartement-de-154m%C2%B2-dont-cour-de-22m%C2%B2,2 200 000 DH,"Ain Diab Extension à
				
				Casablanca","154
					m²",5 Pièces,3 Chambres,2 Salles de bains,Bon état,5-10 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Cheminée,Marbre,Cuisine équipée,null,null,null,null
1644854563-1229,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3",Appartement au RDC de 78m² en vente Les A...,https://www.mubawab.ma/fr/pa/7259211/appartement-au-rdc-de-78m%C2%B2-en-vente-les-all%C3%A9es-de-californie-2,1 202 000 DH,"Californie à
				
				Casablanca","78
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,null,null,Climatisation,Cuisine équipée,Four,null,null,null,null,null,null,null
1644854236-1113,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",6,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:6",Vue mer ain diab residence fermee,https://www.mubawab.ma/fr/a/7330254/vue-mer-ain-diab-residence-fermee,5 000 000 DH,"Ain Diab à
				
				Casablanca","219
					m²",8 Pièces,5 Chambres,4 Salles de bains,Bon état,5-10 ans,"4ème
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Vue sur mer,Salon Marocain,Salon européen,Cheminée,null
1644854518-1212,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3",Vue exceptionnelle. Appartement habitable...,https://www.mubawab.ma/fr/a/7258078/vue-exceptionnelle-appartement-habitable-imm%C3%A9diat,2 300 000 DH,"Moulay Youssef à
				
				Casablanca","140
					m²",4 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,"13ème
					étage",Terrasse,Ascenseur,Concierge,Vue sur mer,Chambre rangement,Salon européen,Climatisation,Double vitrage,Carrelage,Micro-ondes
1644854438-1181,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",4,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:4",Appartement a vendre racine,https://www.mubawab.ma/fr/a/7287337/appartement-a-vendre-racine,2 390 000 DH,"Racine à
				
				Casablanca","144
					m²",3 Pièces,2 Chambres,2 Salles de bains,Bon état,10-20 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Concierge,Salon Marocain,Salon européen,Climatisation,Chauffage central,Cheminée,Cuisine équipée
1644854404-1171,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Appartement au RDC de 98m² en vente Les A...,https://www.mubawab.ma/fr/pa/7259212/appartement-au-rdc-de-98m%C2%B2-en-vente-les-all%C3%A9es-de-californie-2,1 466 000 DH,"Californie à
				
				Casablanca","98
					m²",4 Pièces,3 Chambres,1 Salle de bain,Nouveau,null,null,Climatisation,Cuisine équipée,Four,null,null,null,null,null,null,null
1644854353-1157,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",5,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:5",Bel appartement à vendre sur tan tan bour...,https://www.mubawab.ma/fr/a/7362264/bel-appartement-%C3%A0-vendre-sur-tan-tan-bourgogne,1 300 000 DH,"Bourgogne Ouest à
				
				Casablanca","87
					m²",6 Pièces,2 Chambres,2 Salles de bains,Bon état,10-20 ans,"1er
					étage",Terrasse,Garage,Ascenseur,Jardin,Concierge,Chambre rangement,Salon Marocain,Salon européen,Antenne parabolique,Cuisine équipée
1644854588-1238,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",3,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:3",Somptueuse villa ultra moderne à vendre,https://www.mubawab.ma/fr/a/7146643/somptueuse-villa-ultra-moderne-%C3%A0-vendre,23 000 000 DH,"Ain Diab à
				
				Casablanca","1200
					m²",8 Pièces,4 Chambres,4 Salles de bains,Bon état,null,null,Terrasse,Garage,Piscine,Jardin,Concierge,Vue sur mer,Climatisation,Chauffage central,Sécurité,null
1644854193-1096,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale",7,"https://www.mubawab.ma/fr/ct/casablanca/immobilier-a-vendre-all:sc:apartments-for-sale,houses-for-sale,villas-and-luxury-homes-for-sale:p:7","Appart 100m² avec 47m² Terrasse, sup vend...",https://www.mubawab.ma/fr/pa/7163635/appart-100m%C2%B2-avec-47m%C2%B2-terrasse-sup-vendable-76-5m%C2%B2,924 000 DH,"La Gironde à
				
				Casablanca","100
					m²",3 Pièces,2 Chambres,1 Salle de bain,Nouveau,null,null,Terrasse,Garage,Ascenseur,Concierge,Voir la vidéo,Climatisation,Double vitrage,Antenne parabolique,TV,null
